integral,numeric,exact,abs_error,lower_bound,upper_bound
∫_0^1 |sin(2πx)| dx,0.6366197723675813,0.6366197723675814,1.1102230246251565e-16,,
∫_2^10 dt / log t  (li(10) approx),5.120435724669811,,,,
∫_0^1 x^(1/3) (log x)^2 dx,0.843749999073147,0.8437500000000002,9.268532608075475e-10,,
Σ_{n=1}^10000 1/√n  via integral bounds,198.5049998750066,,,198.00999975001284,199.00000000000034
