x,P,Q,A,c,num_pairs,sum_abs_geom,benchmark_x12_PQ12_logA,ratio
100000,41,59,2.0,1,117,2253.8817553894937,2061528.3912253457,0.0010933061921353485
300000,97,127,2.0,1,437,4931.99641606561,9669064.194931982,0.0005100800156700485
