s,H,max_block_abs,predicted_T,ratio
0.3,38,20,918.4250044749909,0.021776410597001125
0.35,71,35,1255.396967077357,0.02787962765393818
0.4,131,45,1705.2479989315357,0.026389123475409934
0.45,242,50,2317.7126104737445,0.02157299389667639
0.5,447,65,3149.964521578251,0.02063515304846435
0.55,823,81,4274.170262104257,0.018951046643640754
0.6000000000000001,1515,111,5799.068211450245,0.019141006098329864
0.65,2790,138,7869.6243538337685,0.01753577982826739
0.7,5137,163,10678.412260251971,0.01526444156934561
